perfume_name,brand,gender,accords,short_description,long_description,perfumer,top_notes,middle_notes,base_notes,rating,total_votes,img,logo
XXY Xerjoff ,Xerjoff,for women and men,"woody,powdery,citrus,fresh spicy,earthy,warm spicy,iris,patchouli,sweet,aromatic","XXY  by  Xerjoff  is a Oriental Floral fragrance for women and men.  XXY  was launched in 2008. Top notes are Peach, Bergamot and Grapefruit; middle notes are Iris, Ylang-Ylang, Black Pepper and Jasmine; base notes are Patchouli, Vanilla, Sandalwood, Vetiver, Musk and Labdanum. ",,,"Peach,Bergamot,Grapefruit","Iris,Ylang-Ylang,Black Pepper,Jasmine","Patchouli,Vanilla,Sandalwood,Vetiver,Musk,Labdanum",3.88,153,https://fimgs.net/mdimg/perfume/375x500.11706.jpg,https://fimgs.net/mdimg/dizajneri/m.720.jpg
Zanzibar (Najaf) Xerjoff ,Xerjoff,for women and men,"woody,oud,tobacco,fruity,floral,sweet,powdery,warm spicy,vanilla,patchouli",Zanzibar (Najaf)  by  Xerjoff  is a Oriental Woody fragrance for women and men.  Zanzibar (Najaf)  was launched in 2012. The nose behind this fragrance is Chris Maurice. ,,Chris Maurice,"Agarwood (Oud),Tobacco,Osmanthus,Sandalwood,Patchouli,Cedar,Green Notes,Tonka Bean,Vanilla,Musk",,,3.81,200,https://fimgs.net/mdimg/perfume/375x500.14805.jpg,https://fimgs.net/mdimg/dizajneri/m.720.jpg
XJ 1861 Renaissance Xerjoff ,Xerjoff,for women and men,"citrus,green,aromatic,fresh spicy,woody","XJ 1861 Renaissance  by  Xerjoff  is a Citrus Aromatic fragrance for women and men.  XJ 1861 Renaissance  was launched in 2011. Top notes are Amalfi Lemon, Tangerine, Bergamot and Petitgrain; middle notes are Mint, Lily-of-the-Valley and Rose; base notes are Musk, Virginia Cedar, Patchouli and Amber. ","At perfume exhibition in Milan - Esxence 2015, Xerjoff presented for the first time his collection of three perfumes dedicated to 150th anniversary of unification of Italy and is inspired by wealth, beauty and heritage that this country possesses. The collection of XJ 1861 encompasses three fragrances XJ 1861 Renaissance, XJ 1861 Zefiro and XJ 1861 Naxos each of which provides a part of beautiful Italy: Renaissance celebrates this period in Italy, Naxos Sicily, while Zefiro celebrates eternal Rome! 
 
XJ 1861 Renaissance provides a luminous bouquet of aromas enchanting us with freshness of citrusy presence of tangerine, Calabrian bergamot, lemon and petit grain. The heart of the composition is transparent and floral, composed of Bulgarian rose and lily of the valley, with added dynamics of cold mint. The base contributes to depth and created the body of the composition with woody shades of patchouli, cedar, amber and musk to round up the composition.",,"Amalfi Lemon,Tangerine,Bergamot,Petitgrain","Mint,Lily-of-the-Valley,Rose","Musk,Virginia Cedar,Patchouli,Amber",4.29,"3,153",https://fimgs.net/mdimg/perfume/375x500.12126.jpg,https://fimgs.net/mdimg/dizajneri/m.720.jpg
Zafar Xerjoff ,Xerjoff,for women and men,"oud,fresh spicy,woody,musky,amber,smoky,warm spicy,fruity,powdery,aromatic",Zafar  by  Xerjoff  is a Oriental Woody fragrance for women and men.  Zafar  was launched in 2012. The nose behind this fragrance is Chris Maurice. ,,Chris Maurice,"Agarwood (Oud),Incense,Musk,Pepper,Green Apple,Cedar,Vetiver,White Flowers,Rose,Neroli",,,3.63,278,https://fimgs.net/mdimg/perfume/375x500.14803.jpg,https://fimgs.net/mdimg/dizajneri/m.720.jpg
Wardasina Xerjoff ,Xerjoff,for women and men,"tobacco,rose,warm spicy,woody,patchouli,sweet,musky,green,powdery,metallic","Wardasina  by  Xerjoff  is a Oriental Floral fragrance for women and men.  Wardasina  was launched in 2019. The nose behind this fragrance is Chris Maurice. Top note is Green Notes; middle notes are Bulgarian Rose, Saffron, Patchouli and Cedar; base notes are Tobacco, Musk and Vanilla. ","Literally translated as â€˜small roseâ€™, Wardasina is a deliciously floral scent with oriental character. 
 An elegant tribute to the most romantic flower of them all, this enchanting parfum opens with herbal top notes and a heart of  Bulgarian rose  with hints of  cedar wood  and  patchouli . Vanilla ,  tobacco  and  musk  conclude the story. 
 Wardasina is presented with a unique silk neck scarf designed by Xerjoff and produced by famous silk manufacturers in Lake Como. 
 OLFACTORY NOTES 
 Herbal Notes 
 Spanish Saffron, Cedarwood & Patchouli, Bulgarian Rose 
 Vanilla, Tobacco & Musk",Chris Maurice,Green Notes,"Bulgarian Rose,Saffron,Patchouli,Cedar","Tobacco,Musk,Vanilla",3.94,309,https://fimgs.net/mdimg/perfume/375x500.55163.jpg,https://fimgs.net/mdimg/dizajneri/m.720.jpg
XJ 1861 Naxos Xerjoff ,Xerjoff,for women and men,"sweet,vanilla,honey,tobacco,lavender,citrus,aromatic,floral,warm spicy,powdery","XJ 1861 Naxos  by  Xerjoff  is a Citrus Gourmand fragrance for women and men.  XJ 1861 Naxos  was launched in 2015. Top notes are Lavender, Bergamot and Lemon; middle notes are Honey, Cinnamon, Cashmeran and Jasmine Sambac; base notes are Tobacco Leaf, Vanilla and Tonka Bean. ","At perfume exhibition in Milan - Esxence 2015, Xerjoff presented for the first time his collection of three perfumes dedicated to 150th anniversary of unification of Italy and is inspired by wealth, beauty and heritage that this country possesses. The collection of XJ 1861 encompasses three fragrances XJ 1861 Renaissance, XJ 1861 Zefiro and XJ 1861 Naxos each of which provides a part of beautiful Italy: Renaissance celebrates this period in Italy, Naxos Sicily, while Zefiro celebrates eternal Rome! 
 XJ 1861 Naxos celebrates Sicily and its beauty, and accentuates its Mediterranean character with the composition. Citruses in top notes pose contrast to precious spices suggesting wealth of a unified country, its conquests and dominance. Composition of Naxos opens with classic, airy and fruity citrus notes of bergamot and lemon surrounded with gentle and calming lavender shades. The heart blends sambac jasmine with cinnamon, cashmeran and honey, whose romantic trail is enriched with masculine accords of tobacco and tonka from the base. Vanilla creates a soft and sensual veil by touching flowers, fruit and tobacco leaves.",,"Lavender,Bergamot,Lemon","Honey,Cinnamon,Cashmeran,Jasmine Sambac","Tobacco Leaf,Vanilla,Tonka Bean",4.51,"10,668",https://fimgs.net/mdimg/perfume/375x500.30529.jpg,https://fimgs.net/mdimg/dizajneri/m.720.jpg
Uden Xerjoff ,Xerjoff,for men,"citrus,woody,vanilla,powdery,fresh,warm spicy,rum,coffee","Uden  by  Xerjoff  is a Aromatic Spicy fragrance for men.  Uden  was launched in 2009. Top notes are Citruses, Lemon and Grapefruit; middle notes are Rum, Guaiac Wood, Sandalwood and Rose; base notes are Vanilla, Coffee, Musk and Ambergris. ",,,"Citruses,Lemon,Grapefruit","Rum,Guaiac Wood,Sandalwood,Rose","Vanilla,Coffee,Musk,Ambergris",4.41,"1,738",https://fimgs.net/mdimg/perfume/375x500.6306.jpg,https://fimgs.net/mdimg/dizajneri/m.720.jpg
Starlight Xerjoff ,Xerjoff,for women and men,"warm spicy,cinnamon,almond,aromatic,amber","Starlight  by  Xerjoff  is a Oriental Spicy fragrance for women and men.  Starlight  was launched in 2019. Top notes are Cardamom and Bergamot; middle notes are Cinnamon, Almond and Cloves; base notes are Amber and Cedar. ","
 Starlight is the ignition that sparks a  seductive  and  sensual olfactory experience  that is difficult to forget. With top notes of citrus bergamot and fresh cardamom, this perfume from the Spotlight Collection travels to a comforting heart of almond, cinnamon and clove for an irresistibly alluring warmth. 
 The enticing base of cedar wood and amber features balsamic accords that set the senses alight. Warming spices and  sensual accords  linger on the skin, hugging the wearer and charming those around them. 
 
 OLFACTORY NOTES 
 
 Cardamom, Bergamot 
 Cinnamon, Almond 
 Oriental, Cedarwood 
 
",,"Cardamom,Bergamot","Cinnamon,Almond,Cloves","Amber,Cedar",4.43,"1,631",https://fimgs.net/mdimg/perfume/375x500.58246.jpg,https://fimgs.net/mdimg/dizajneri/m.720.jpg
Rose Gold Xerjoff ,Xerjoff,for women and men,"rose,fresh spicy,woody,aromatic,amber,musky,floral,warm spicy,patchouli","Rose Gold  by  Xerjoff  is a Chypre Floral fragrance for women and men.  Rose Gold  was launched in 2018. The nose behind this fragrance is Chris Maurice. Top note is Bulgarian Rose; middle note is Geranium; base notes are Amber, Woody Notes, Musk and Patchouli. ",,Chris Maurice,Bulgarian Rose,Geranium,"Amber,Woody Notes,Musk,Patchouli",3.89,114,https://fimgs.net/mdimg/perfume/375x500.52435.jpg,https://fimgs.net/mdimg/dizajneri/m.720.jpg
Richwood Xerjoff ,Xerjoff,for women and men,"woody,patchouli,warm spicy,citrus,powdery,rose,balsamic,vanilla,fruity,musky","Richwood  by  Xerjoff  is a Woody Chypre fragrance for women and men.  Richwood  was launched in 2010. Top notes are Tangerine, Bergamot and Grapefruit; middle notes are Damask Rose and Black Currant; base notes are Patchouli, Sandalwood, Vanilla, Labdanum and Musk. ","Xerjoff collection of fragrances is so alluring that each new edition attracts attention of the public. XJ 17/17 collection has been presented recently, in flacons with spray as eau de parfum. Two brand new editions have been added to this luxury collection at the same time.
 
 Xerjoff XJ 17/17 includes 6 fragrances available as EDP, in spray flacons shaped like flacons of the Shooting Stars collections. Two new fragrances are named Damarose and Richwood and they promise a great concept with their names.
 
 XJ Richwood is a fragrant saga intertwined of the finest notes composed by prominent perfumers from Grasse. A rare and precious ingredient Mysore sandalwood will take you for a fragrant journey along with luminous accords of lemon, queen rose and elegant patchouli. The fragrance can be purchased as 100ml EDP.",,"Tangerine,Bergamot,Grapefruit","Damask Rose,Black Currant","Patchouli,Sandalwood,Vanilla,Labdanum,Musk",4.31,"1,088",https://fimgs.net/mdimg/perfume/375x500.11703.jpg,https://fimgs.net/mdimg/dizajneri/m.720.jpg
Star Musk Xerjoff ,Xerjoff,for women and men,"amber,powdery,floral,warm spicy,vanilla,musky,woody,balsamic,sweet,iris","Star Musk  by  Xerjoff  is a Floral Woody Musk fragrance for women and men.  Star Musk  was launched in 2013. The nose behind this fragrance is Chris Maurice. Top notes are Floral Notes, Amber and Mandarin Orange; middle notes are Iris, Sandalwood, Cinnamon, Patchouli, Carnation and Vetiver; base notes are Musk, Vanilla, Benzoin, Opoponax and Sandalwood. ",,Chris Maurice,"Floral Notes,Amber,Mandarin Orange","Iris,Sandalwood,Cinnamon,Patchouli,Carnation,Vetiver","Musk,Vanilla,Benzoin,Opoponax,Sandalwood",4.13,277,https://fimgs.net/mdimg/perfume/375x500.21617.jpg,https://fimgs.net/mdimg/dizajneri/m.720.jpg
Regio Xerjoff ,Xerjoff,for women and men,"aromatic,warm spicy,fresh spicy,citrus,floral,lavender,sweet,musky,rose,fruity","Regio  by  Xerjoff  is a Oriental Spicy fragrance for women and men.  Regio  was launched in 2011. Top notes are Lavender, Grapefruit, Bergamot and Lemon Blossom; middle notes are Carnation, Geranium, Cardamom, plum, Ylang-Ylang and Rose; base notes are Vanille, Ambrette (Musk Mallow), Musk and Patchouli. ",,,"Lavender,Grapefruit,Bergamot,Lemon Blossom","Carnation,Geranium,Cardamom,plum,Ylang-Ylang,Rose","Vanille,Ambrette (Musk Mallow),Musk,Patchouli",3.76,595,https://fimgs.net/mdimg/perfume/375x500.14079.jpg,https://fimgs.net/mdimg/dizajneri/m.720.jpg
Red Hoba Xerjoff ,Xerjoff,for women and men,"woody,warm spicy,musky,amber,powdery,smoky,patchouli,cinnamon,balsamic,leather","Red Hoba  by  Xerjoff  is a Oriental Vanilla fragrance for women and men.  Red Hoba  was launched in 2014. The nose behind this fragrance is Chris Maurice. Top notes are Cardamom, Cinnamon and Bergamot; middle notes are Patchouli, Incense, Orris and Jasmine; base notes are Guaiac Wood, Cashmeran, Musk, Papyrus, Labdanum and Castoreum. ",,Chris Maurice,"Cardamom,Cinnamon,Bergamot","Patchouli,Incense,Orris,Jasmine","Guaiac Wood,Cashmeran,Musk,Papyrus,Labdanum,Castoreum",3.74,365,https://fimgs.net/mdimg/perfume/375x500.24609.jpg,https://fimgs.net/mdimg/dizajneri/m.720.jpg
Pikovaya Dama 2018 Xerjoff ,Xerjoff,for women and men,"powdery,aldehydic,citrus,woody,fresh,iris,aromatic,musky,fresh spicy,earthy","Pikovaya Dama 2018  by  Xerjoff  is a Floral Aldehyde fragrance for women and men.  Pikovaya Dama 2018  was launched in 2018. The nose behind this fragrance is Chris Maurice. Top notes are Aldehydes, Neroli, Bergamot, Rose and Lemon; middle notes are Iris, Incense, Coriander, Cedar and Nutmeg; base notes are Musk, Vanilla, Sandalwood and Patchouli. ",,Chris Maurice,"Aldehydes,Neroli,Bergamot,Rose,Lemon","Iris,Incense,Coriander,Cedar,Nutmeg","Musk,Vanilla,Sandalwood,Patchouli",4.3,831,https://fimgs.net/mdimg/perfume/375x500.49504.jpg,https://fimgs.net/mdimg/dizajneri/m.720.jpg
Purple Accento Xerjoff ,Xerjoff,for women and men,"sweet,fruity,powdery,musky,citrus,vanilla,amber,tropical,oud,woody","Purple Accento  by  Xerjoff  is a Oriental Floral fragrance for women and men.  Purple Accento  was launched in 2021. The nose behind this fragrance is Chris Maurice. Top notes are Pineapple, Mandarin Orange and Hyacinth; middle notes are Loganberry, Pink Pepper and Jasmine; base notes are Musk, Vanilla, Amber, Agarwood (Oud) and Sandalwood. ","Presenting Purple Accento, the much loved  fresh  and  fruity orientalÂ   scent. 
 This perfume is beautifully dressed in  extravagant purple crystals , the perfect appearance to introduce the blend guarded within. 
Opening with Mediterranean fruits and citrus notes that help to revel the elegance on first impact. 
 
The well orchestrated opera of naturally distilled flowers firmly stands out after a few seconds from the first spray, conveying to the skin an intense and  rich style  reminiscent of glorious times. The base notes proudly support the whole pyramid with amber, musk, vanilla and oud for a  long lasting exclusive dream . 
 OLFACTORY NOTES 
 Bergamot - Mandarin - Hyacinth & Pineapple 
 Loganberry - Orris - Jasmine & Pink Pepper 
 Oriental - Musk - Sandalwood - Vanilla & Oud",Chris Maurice,"Pineapple,Mandarin Orange,Hyacinth","Loganberry,Pink Pepper,Jasmine","Musk,Vanilla,Amber,Agarwood (Oud),Sandalwood",4.09,106,https://fimgs.net/mdimg/perfume/375x500.65616.jpg,https://fimgs.net/mdimg/dizajneri/m.720.jpg
Opera Xerjoff ,Xerjoff,for women and men,"woody,sweet,yellow floral,fruity,fresh spicy,leather,powdery,vanilla,amber,patchouli","Opera  by  Xerjoff  is a Woody Floral Musk fragrance for women and men.  Opera  was launched in 2019. The nose behind this fragrance is Chris Maurice. Top notes are Fruits and Turkish Rose; middle notes are Ylang-Ylang, Nutmeg, Leather and Amber; base notes are Vanilla, Patchouli, Musk, Virginia Cedar and Haitian Vetiver. ","The extravagant beauty of Opera has to be experienced to be believed. 
 Turkish Rose  top notes immediately captivate while warming  leather  and  amber  sit at the heart, blended with accords of  ylang-ylang  and  nutmeg . 
 Basenotes of  patchouli ,  vanilla  and  Haitian vetiver  add a depth that canâ€™t be ignored. 
 Opera is presented with a unique silk neck scarf designed by Xerjoff and produced by famous silk manufacturers in Lake Como. 
 OLFACTORY NOTES 
 Fruity Basket & Turkish Rose 
 Ylang-Ylang, Nutmeg, Leather & Oriental 
 Vanilla, Patchouli, Haitian Vetiver & Musk, Cedarwood From Virginia",Chris Maurice,"Fruits,Turkish Rose","Ylang-Ylang,Nutmeg,Leather,Amber","Vanilla,Patchouli,Musk,Virginia Cedar,Haitian Vetiver",4.05,796,https://fimgs.net/mdimg/perfume/375x500.55162.jpg,https://fimgs.net/mdimg/dizajneri/m.720.jpg
Oesel Xerjoff ,Xerjoff,for women and men,"white floral,citrus,yellow floral,woody,green,powdery","Oesel  by  Xerjoff  is a Oriental Floral fragrance for women and men.  Oesel  was launched in 2010. Top notes are African Orange Flower, Petitgrain and Lemon; middle notes are Mimosa, White Flowers, Jasmine and Rose; base notes are Tobacco Blossom, Amber, Patchouli and Virginia Cedar. ","Oesel perfume from the Shooting Stars Collection is a symphony of bright and rich notes perfectly mixed with the best raw ingredients. Orange blossom and petitgrain from Paraguay lead the path to the heart of Bulgarian rose and Sambac jasmine, which are skillfully wrapped in sophisticated mimosa and white flowers. Graceful result of this mixed breed is the ambery wooden base of Indian patchouli, cedar and tobacco flower, which exudes the character, depth and persistence.  
  > It is available as 50 and 100 ml EDP.",,"African Orange Flower,Petitgrain,Lemon","Mimosa,White Flowers,Jasmine,Rose","Tobacco Blossom,Amber,Patchouli,Virginia Cedar",4,248,https://fimgs.net/mdimg/perfume/375x500.10245.jpg,https://fimgs.net/mdimg/dizajneri/m.720.jpg
